"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"171_1173.693_7.461",0.1014,0.10231,0.095163,0.090491,0.085756
"172_353.163_4.505",0.1117,0.096986,0.090118,0.085797,0.081308
"173_661.466_10.208",0.21878,0.3287,0.31433,0.30542,0.2895
"174_473.343_7.168",0.14777,0.10616,0.10163,0.096745,0.091996
"175_911.577_9.261",0.0033379,0.007053,0.049252,0.05924,0.076106
"176_683.43_6.204",0.11691,0.09482,0.088624,0.08445,0.080377
"177_345.327_7.413",1.4264,2.1229,2.0673,2.0767,2.0238
"178_388.277_1.312",0.17896,0.13428,0.14122,0.135,0.13519
"179_581.452_10.106",2.5015,1.7878,1.7118,1.6304,1.5487
"180_409.249_5.681",0.25496,0.39503,0.37346,0.36106,0.34818
"181_468.34_6.257",0.19578,0.22152,0.20644,0.20558,0.20069
"182_287.224_7.096",0.15296,0.37134,0.57127,0.54392,0.5155
"183_357.194_4.534",0.053421,0.039573,0.041189,0.045251,0.047013
"184_357.196_4.592",0.10724,0.099404,0.092264,0.087703,0.083119
"185_834.647_11.175",0.090758,0.080072,0.07583,0.072562,0.068893
"186_381.196_5.852",0.20792,0.17548,0.18844,0.18064,0.17931
"187_383.211_5.997",0.55843,0.55401,0.61948,0.58878,0.57978
"188_775.443_1.552",0.1145,0.0929,0.086811,0.082814,0.079526
"189_175.038_7.203",0.14113,0.10725,0.099552,0.095656,0.096165
"190_343.178_3.418",0.92671,0.705,0.65707,0.64803,0.64555
"191_124.059_12.199",0.099576,0.10169,0.094761,0.090188,0.085476
"192_955.546_7.975",0.1478,0.12741,0.1413,0.13546,0.16376
"193_1003.698_7.195",0.27764,0.20758,0.19823,0.18893,0.18091
"194_319.214_3.926",0.10607,0.098976,0.091902,0.087531,0.083022
"195_399.207_2.728",0.18738,0.1445,0.16107,0.153,0.14607
"196_819.506_8.89",0.051859,0.057452,0.056696,0.055018,0.052306
"197_583.414_8.236",0.083635,0.062931,0.05937,0.056925,0.054909
"198_603.224_7.199",0.10276,0.080318,0.076038,0.079136,0.080839
"199_369.195_4.582",0.39551,0.52657,0.55137,0.53208,0.51778
"200_371.21_5.077",1.594,1.2561,1.1658,1.1218,1.1858
"201_703.493_10.365",0.12315,0.096252,0.09142,0.086843,0.082311
"202_581.453_10.194",0.183,0.14079,0.15384,0.14628,0.14122
"203_765.473_7.005",0.10169,0.10057,0.093578,0.089055,0.084401
"204_532.371_6.337",0.23631,0.18092,0.16852,0.25535,0.24392
"205_767.474_8.523",0.027027,0.065094,0.06386,0.061083,0.06968
"206_797.499_7.512",0.10325,0.099989,0.092967,0.088488,0.083884
"207_313.204_6.205",0.14327,0.10243,0.1027,0.097946,0.095285
"208_373.19_0.628",0.12267,0.095813,0.089574,0.086125,0.083642
"209_633.415_6.115",0.10289,0.098898,0.091838,0.087346,0.082781
"210_247.151_12.219",0.095818,0.092772,0.086509,0.082317,0.078016
"211_715.42_5.762",0.11049,0.096304,0.089738,0.085248,0.080848
"212_627.439_5.58",0.36998,0.33661,0.93357,0.91723,0.88623
"213_325.203_6.789",0.10694,0.097795,0.090788,0.086311,0.081819
"214_245.097_0.233",0.28296,0.50919,0.48383,0.47498,0.4817
"215_369.195_4.777",0.20641,0.16061,0.18933,0.3699,0.38803
"216_402.333_7.457",0.40978,0.36065,0.35448,0.36693,0.36745
"217_783.484_6.511",0.11008,0.097516,0.090508,0.086392,0.082194
"218_381.196_5.575",0.090313,0.13682,0.18873,0.17974,0.17101
"219_281.177_6.192",0.12821,0.095887,0.092724,0.088126,0.083707
"220_644.453_6.958",0.015435,0.035253,0.04153,0.051597,0.051624
"221_267.196_5.586",1.1695,1.0737,1.0436,1.0258,1.0416
"222_183.127_0.984",0.14306,0.17696,0.16607,0.15882,0.15216
"223_513.425_10.779",0.79179,0.67533,0.66487,0.68843,0.72241
"224_661.411_6.46",0.26892,0.26818,0.29023,0.2796,0.28478
"225_369.195_4.852",0.66337,0.80293,0.81727,0.78826,0.74705
"226_462.357_6.684",3.9326,4.1932,4.0944,4.065,3.9706
"227_401.223_4.064",0.017797,0.090819,0.092196,0.087612,0.11405
"228_271.191_6.206",0.13582,0.098053,0.096776,0.092135,0.088673
"229_429.367_9.85",0.15939,0.20392,0.21718,0.23771,0.26082
"230_499.357_7.478",3.4983,3.7927,3.6717,3.5899,3.4799
"231_559.468_10.291",0.23431,0.20369,0.22101,0.20998,0.20219
"232_269.212_7.309",0.21121,0.17194,0.26661,0.25343,0.24059
"233_385.191_3.428",0.18146,0.18808,0.19705,0.18964,0.18896
"234_269.212_5.287",0.42267,2.4201,2.2757,2.1967,2.1924
"235_399.207_4.637",0.25224,0.20597,0.21651,0.20641,0.1981
"236_671.393_6.167",0.10123,0.10032,0.093251,0.088693,0.084072
"237_315.146_0.995",0.11049,0.095023,0.088276,0.084275,0.080807
"238_722.575_11.677",0.10599,0.10182,0.094905,0.090178,0.086057
"239_269.212_7.541",1.5648,1.1342,1.1505,1.2352,1.2107
"240_703.514_10.851",0.13435,0.20536,0.19433,0.18872,0.18047
"241_287.224_6.535",0.081149,0.066716,0.06392,0.060913,0.062414
"242_299.188_4.11",0.38761,0.44981,0.51874,0.49291,0.47156
"243_647.431_7.377",0.1138,0.095718,0.089454,0.084986,0.080539
"244_287.224_6.107",0.84014,1.3569,1.9999,1.9318,2.2991
"245_563.442_11.112",1.2468,0.89777,1.1667,1.2123,1.4017
"246_609.451_7.979",0.0041067,0.011046,0.031145,0.033604,0.044987
"247_831.434_6.639",0.11513,0.1178,0.11127,0.10982,0.10484
"248_583.419_8.487",0.084909,0.091881,0.085726,0.08189,0.07847
"249_371.21_4.181",0.21033,0.94131,0.88141,0.83735,0.80461
"250_775.443_2.154",0.11991,0.092577,0.087213,0.083395,0.080765
"251_330.269_7.576",0.22862,2.0338,2.4057,2.2906,2.6785
"252_330.269_7.637",1.2799,2.8626,2.6683,2.6795,2.6627
"253_675.427_6.722",0.1358,0.098781,0.095957,0.091668,0.088073
"254_771.52_7.189",0.15847,0.11338,0.1117,0.10742,0.10495
"255_387.206_1.247",0.14412,0.10303,0.10136,0.097862,0.099931
"256_132.075_0.232",0.10376,0.10368,0.096882,0.092033,0.088228
"257_563.442_11.39",0.10963,0.095839,0.089122,0.084759,0.080331
"258_671.393_4.815",0.089664,0.13053,0.12114,0.11508,0.11194
"259_587.228_7.638",0.020656,0.14996,0.14931,0.14197,0.13462
"260_672.561_10.715",0.1078,0.097106,0.090209,0.085724,0.08126
"261_697.409_6.887",0.10604,0.09771,0.090696,0.086209,0.081716
"262_299.188_5.559",0.24307,0.21626,0.26012,0.24819,0.2353
"263_671.393_4.511",0.096825,0.084599,0.078684,0.074935,0.071051
"264_371.211_4.339",0.11618,0.10208,0.094745,0.091379,0.087443
"265_333.195_3.816",0.42633,0.31228,1.1527,1.3576,1.4275
"266_582.472_8.097",0.091283,0.095501,0.089087,0.084897,0.080637
"267_315.184_0.623",0.10099,0.10035,0.093364,0.088856,0.084208
"268_387.206_4.086",0.0037707,0.32074,0.29874,0.29693,0.29924
"269_579.437_10.431",0.1093,0.1046,0.098297,0.093454,0.088999
"270_579.437_10.345",0.3282,0.24823,0.29648,0.30209,0.30669
"271_305.235_5.985",0.40764,0.80006,0.76672,0.72886,0.76825
"272_581.453_10.515",0.021907,0.096185,0.12467,0.12635,0.1282
"273_579.437_10.23",0.40954,0.30511,0.37658,0.38678,0.39693
"274_271.228_7.011",0.064223,0.38826,0.44855,0.42757,0.42242
"275_287.224_6.635",0.32401,0.45562,0.42289,0.41509,0.40672
"276_373.19_1.941",0.014024,0.047381,0.049272,0.05649,0.06323
"277_683.43_5.764",0.10207,0.10121,0.094755,0.090063,0.085368
"278_901.513_5.508",0.10838,0.096889,0.090037,0.085563,0.081101
"279_328.253_7.321",0.68241,0.51863,0.52735,0.50159,0.48328
"280_303.219_3.689",0.0015417,0.19024,0.19526,0.18645,0.22466
"281_341.199_4.704",1.1333,1.3817,1.3923,1.3281,1.261
"282_279.077_0.437",0.29254,0.34983,0.32521,0.30894,0.29562
"283_471.325_6.531",3.4428,4.923,4.7833,4.7902,4.7364
"284_399.207_5.792",0.89505,0.75133,0.72431,0.70883,0.76586
